DrawNo,N1,N2,N3,N4,N5,N6,Special
26/001,2,10,13,16,20,21,14
26/002,2,8,12,19,28,36,1
26/003,15,21,24,40,45,46,13
26/004,3,16,20,22,24,37,42
26/005,14,24,34,38,48,49,27
26/006,3,6,37,38,39,44,48
26/007,5,12,15,23,27,42,46
26/008,1,4,6,9,44,46,27
26/009,4,9,15,24,27,31,45
26/010,6,16,17,22,28,48,45
26/011,7,12,14,25,38,47,15
26/012,6,9,12,14,35,44,11
26/013,25,30,32,35,36,47,46
26/014,12,23,27,37,39,42,5
26/015,1,9,17,24,35,36,42
26/016,12,22,28,32,37,44,20
26/017,3,4,14,18,26,39,40
26/018,2,3,14,25,37,46,10
26/019,8,28,33,36,37,46,4
26/020,2,18,34,35,37,49,33
26/021,2,3,4,10,13,23,12
26/022,6,13,15,19,38,42,34
26/023,5,15,37,39,46,47,29
26/024,6,13,20,31,32,44,45
26/025,4,18,24,31,42,46,11
26/026,12,15,18,22,28,37,31
26/027,2,16,25,34,35,37,49
26/028,7,13,14,16,26,30,34
26/029,16,18,22,28,45,49,13
26/030,2,6,8,33,41,45,48
26/031,5,9,11,18,23,47,24
26/032,6,9,22,26,44,49,7
26/033,12,17,23,27,28,37,3
26/034,11,21,26,27,42,45,19
26/035,9,18,19,20,28,32,44
26/036,20,28,32,35,40,45,43
26/037,8,23,25,29,33,34,49
26/038,13,16,24,43,44,45,40
26/039,11,14,17,28,40,42,2
26/040,8,19,22,33,44,46,18
26/041,6,12,14,28,44,46,15
26/043,17,20,27,32,39,46,34
26/043,2,4,10,11,26,44,40
26/044,12,23,37,38,45,48,8
26/045,4,16,21,36,42,46,9
26/046,2,3,8,28,30,48,9
26/047,2,7,8,10,18,47,4
26/048,6,14,20,23,28,34,49
26/049,9,17,26,41,42,47,8
26/050,4,16,19,22,25,47,40
26/051,23,27,30,34,45,47,28
26/052,11,25,28,36,41,43,22
26/053,1,2,4,20,21,27,19
26/054,5,7,13,15,27,31,16
26/055,2,7,20,42,47,49,8
26/056,10,11,18,32,34,47,33
26/057,7,13,25,35,40,43,47
26/058,1,12,21,39,40,41,42
26/059,9,14,16,35,37,45,20
26/060,4,7,15,37,43,47,44
26/061,5,12,19,20,34,36,46
26/062,8,11,14,26,33,40,30
26/063,3,6,9,10,28,29,27
26/064,10,12,17,29,32,35,1
26/065,6,20,26,31,34,47,24
26/066,5,7,10,15,16,41,46
26/067,2,15,25,34,39,41,10
26/068,12,16,19,20,28,30,29
26/069,5,7,26,32,37,40,35
26/070,12,14,17,18,22,40,13
26/071,5,17,26,31,34,46,43
26/072,3,14,19,20,31,38,44
